name,description,team,battingStyle,bowlingStyle,playingRole
Juma Miyagi,,Uganda,Right hand Bat,Right arm Medium fast,Bowler
Cosmas Kyewuta,,Uganda,Right hand Bat,Right arm Medium,Bowler
Karan KC,"However, it is for his batting that he holds folk-hero status in the annals of Nepal cricket: he secured a famous one-wicket victory for them against Canada in the 2018 World Cricket League Division Two in Namibia, coming in at No. 10 and making 42 off 31. It paved the way for the country to secure ODI status a month later. Since then he has produced a number of such big-hitting cameos from lower down the order.",Nepal,Right hand Bat,Right arm Fast,Allrounder
Lega Siaka,"About eight years later, Siaka starred in another memorable PNG win, making 90 in a chase of 279 against Nepal away to fetch his team their second victory in three games after they lost 18  matches on the trot over a period of two and a half years.",P.N.G.,Right hand Bat,"Right arm Fast medium, Legbreak",Opening Batter
John Kariko,,P.N.G.,Left hand Bat,Slow Left arm Orthodox,Bowler
Pratik Athavale,,Oman,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Kashyap Prajapati,,Oman,Right hand Bat,Right arm Offbreak,Top order Batter
Aqib Ilyas,,Oman,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
Zeeshan Maqsood,,Oman,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Khalid Kail,,Oman,Right hand Bat,N/A,Middle order Batter
Ayaan Khan,,Oman,Left hand Bat,Slow Left arm Orthodox,Allrounder
Shoaib Khan,,Oman,Right hand Bat,Right arm Medium,Batter
Mehran Khan,,Oman,Right hand Bat,Right arm Medium fast,Batter
Fayyaz Butt,,Oman,Right hand Bat,Right arm Medium fast,Bowler
Kaleemullah,"Originally from Gujranwala, Pakistan, where he came up through the U-19 pathway, Kaleemullah migrated to Oman in his early twenties and made his debut for that side in January 2017 in the Desert T20 tournament in the UAE. However, he had to bide his time on the bench for nearly a year afterwards, until the ICC revised its eligibility guidelines for non-citizen residents in October 2017. That opened the door for him to seize the next available opportunity, starting with 2018 World Cricket League Division Two in Namibia.",Oman,Right hand Bat,Right arm Medium,Bowler
Bilal Khan,"After playing the last of his six Pakistan domestic matches, Bilal took up a job offer in Muscat and began the ICC's four-year qualification process before making his Oman debut late in 2015. The ICC's guidelines at the time said only two players could be in the starting XI who were four-year residents but not yet seven-year residents of an adopted country, and so Bilal struggled to crack the regular Oman starting line-up over the course of 2016, but a breakout performance at the Desert T20 tournament in the UAE in January 2017 turned things around. From then on, he was a catalyst for Oman's rise from Division Five of the World Cricket League all the way up to achieving ODI status in 2019.",Oman,Left hand Bat,Left arm Medium fast,Bowler
Will Jacks,"But though his offspin is more than serviceable, Jacks is primarily a powerful top-order batter who has long been tipped for the top. He shot to mainstream attention on Surrey's pre-season tour in 2019, when he hit a 25-ball hundred in a T10 friendly against Lancashire in Dubai, by which stage he had graduated from a spell with England's Under-19s which included a century against India in a Youth Test and the vice-captaincy at the 2018 World Cup.",England,Right hand Bat,Right arm Offbreak,Batting Allrounder
Glenn Phillips,"Although he made his T20I debut for New Zealand in 2017, he only cemented his place in the white-ball sides in 2020, using regular appearances in the CPL to hone his skills. In November 2020 against West Indies, he scored a 46-ball T20I century, then the fastest for a New Zealander, and he finished 2021 with the most sixes in T20s that year. Batting primarily in the middle order, Phillips was instrumental in New Zealand's run to the 2021 T20 World Cup final, and played an unforgettable innings in the 2022 edition - a 64-ball 104 against Sri Lanka in a match in which the other 19 batters combined to score 149 runs off the bat. He kicked off 2023 with a counterattacking half-century from No. 7 against Pakistan that clinched New Zealand's first ODI series win in the subcontinent since 2008.",New Zealand,Right hand Bat,Right arm Offbreak,Allrounder
James Neesham,"He made his international debut in a Twenty20 international on New Zealand's tour to South Africa in 2012-13, following some impressive performances in the shorter formats in the domestic season. Neesham began his first-class career with Auckland, but a move Otago worked well for him, as he made some important contributions in the 50-over format in the 2011-12 season, making three 40-plus scores in seven innings, all of them coming at more than a run a ball. He was among the wickets too, taking a career-best 5 for 44 against Wellington and 4 for 23 against Canterbury. The rewards came soon, as he was included in the limited-overs squads for the tour to South Africa and made his T20I and ODI debuts.",New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder
Mohammed Siraj,"Sturdy and athletic, Siraj has a deceptive run-up, which initially suggests that a left-arm bowler is steaming in. He is, however, a right-armer and by his own admission is a natural at getting the ball to swing into the right-hander. He has always been able to bowl a pretty quick bouncer though, something that had impressed his captain David Warner and team mentor VVS Laxman in the Sunrisers Hyderabad set-up.",India,Right hand Bat,Right arm Fast,Bowler
Jan Frylinck,,Namibia,Left hand Bat,Left arm Fast medium,Allrounder
Zane Green,,Namibia,Left hand Bat,N/A,Wicketkeeper Batter
Ben Shikongo,,Namibia,Right hand Bat,Right arm Medium fast,Bowler
Aaron Johnson,,Canada,Right hand Bat,Right arm Offbreak,Batter
Navneet Dhaliwal,,Canada,Right hand Bat,Right arm Medium fast,Middle order Batter
Pargat Singh,,Canada,Right hand Bat,Right arm Offbreak,Allrounder
Nicholas Kirton,,Canada,Left hand Bat,N/A,Batting Allrounder
Shreyas Movva,,Canada,Right hand Bat,N/A,Wicketkeeper Batter
Ravinderpal Singh,,Canada,Right hand Bat,Right arm Offbreak,Batter
Saad Bin Zafar,,Canada,Left hand Bat,Slow Left arm Orthodox,Allrounder
Kaleem Sana,"Later he moved to Canada and was picked in their squad for the 2024 T20 World Cup.
ESPNcricinfo staff",Canada,Right hand Bat,Left arm Medium fast,Bowler
Dilon Heyliger,,Canada,Right hand Bat,Right arm Medium,Bowler
Naseem Shah,"His talent was so blindingly obvious it was only a matter of when things clicked for him. He became the youngest fast bowler in Test history to take a five-wicket haul, doing so in Karachi against Sri Lanka in just his second match. Records continued to tumble, with Naseem becoming the youngest to take a Test match hat-trick in his third Test against Bangladesh.",Pakistan,Right hand Bat,Right arm Fast,Bowler
Jeremy Gordon,,Canada,Right hand Bat,Right arm Fast medium,Bowler
Junaid Siddiqui,,Canada,Right hand Bat,Legbreak,Allrounder
Naseem Khushi,,Oman,Right hand Bat,N/A,Wicketkeeper
Rafiullah,,Oman,Right hand Bat,Right arm Medium,Bowler
Shakeel Ahmed,,Oman,Left hand Bat,Slow Left arm Orthodox,Bowler
Iftikhar Ahmed,"Up until then, the lone highlight of Iftikhar's white-ball international career had been his 5 for 40 against Zimbabwe in his sixth match, in 2020, which came five years after his first.",Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Roger Mukasa,,Uganda,Right hand Bat,Right arm Offbreak,Batter
Frank Nsubuga,,Uganda,Right hand Bat,Right arm Offbreak,Allrounder
Teja Nidamanuru,,Netherlands,Right hand Bat,Right arm Offbreak,Allrounder
Mark Chapman,,New Zealand,Left hand Bat,Slow Left arm Orthodox,Allrounder
Michael Bracewell,"Six months later he announced himself in white-ball international cricket with a similarly outrageous effort, smashing an unbeaten 127 off 82 balls from No. 7 - his maiden one-day hundred - as New Zealand hunted down 301 from 120 for 5 against Ireland in Dublin. Although he was a wicketkeeper-batter early in his domestic career, Bracewell adapted to being more of an offspin-bowling allrounder role for New Zealand, even taking a hat-trick in his second T20I, against Ireland. He was picked for the 2022 T20 World Cup, but didn't make it to the XI.",New Zealand,Left hand Bat,Right arm Offbreak,Batting Allrounder
Matt Henry,"He played in only two matches in the 2015 World Cup, and incredibly they were the most important, the semi-final against South Africa and the final against Australia.",New Zealand,Right hand Bat,Right arm Fast medium,Bowler
Dilpreet Bajwa,,Canada,Right hand Bat,Right arm Offbreak,Allrounder
Craig Young,"Before long, Young was drawing comparisons with Boyd Rankin, not just because of his threatening pace and bounce but also his Londonderry roots. Unfortunately his career has mirrored Rankin in another way - that of catching the injury bug. Since making his debut, Young has been in the starting XI for less than half of Ireland's ODIs while dealing with a rash of fitness issues. But when he's been able to take the field, there have been few more impressive statistical performers for Ireland. He has one of the highest strike rates and lowest bowling averages among Ireland's top ODI wicket-takers.",Ireland,Right hand Bat,Right arm Fast medium,Bowler
JP Kotze,,Namibia,Left hand Bat,N/A,Batter
Malan Kruger,,Namibia,Right hand Bat,N/A,Batter
Tangeni Lungameni,,Namibia,Right hand Bat,Left arm Medium,Bowler
Brad Currie,"Currie, who qualifies for Scotland through his dad, made his international debut at the ICC T20 World Cup Qualifier in 2023. He took 5 for 13 in the final against Ireland - just his sixth appearance - and helped to secure the team's place at the 2024 tournament in the Caribbean and USA.ESPNcricinfo staff",Scotland,Right hand Bat,Left arm Medium,Bowler
Azam Khan,,Pakistan,Right hand Bat,N/A,Wicketkeeper Batter
Monank Patel,,U.S.A.,Right hand Bat,N/A,Wicketkeeper Batter
Sagar Dhakal,,Nepal,Right hand Bat,Slow Left arm Orthodox,Bowler
Bilal Hassan,,Uganda,Right hand Bat,Right arm Medium fast,Bowler
Henry Ssenyondo,,Uganda,Right hand Bat,Slow Left arm Orthodox,Bowler
Mujeeb Ur Rahman,"At 16, Mujeeb was part of an Afghanistan Under-19 side that dismantled Bangladesh 3-1 away in 2017. Bowling predominantly with the new ball, he took eight wickets in the first three games of that series and 7 for 19 in the fourth, where Afghanistan successfully defended 134. The month after, he starred in a historic U-19 Asia Cup title win for Afghanistan, taking 5 for 13 as his team beat Pakistan in the final.",Afghanistan,Right hand Bat,Right arm Offbreak,Bowler
Sadeera Samarawickrama,"Having begun his cricket at Colombo's Thurstan College, Samarawickrama moved to St Joseph's in his final years, and prospered in the school system, even hitting a memorable 126 in St Joseph's biggest fixture of the year. That performance propelled him into Sri Lanka's Under-19 squad, where he again impressed, making 265 runs at an average of 44.17 in the 2014 Youth World Cup.",Sri Lanka,Right hand Bat,N/A,Wicketkeeper Batter
Mohammad Nadeem,"Since then he has rewarded the faith of Oman's management by transforming into an indispensable middle-order allrounder. There is nothing flashy about his batting technique, but his ability to soak up pressure in tense situations and get Oman across the line with a string of valuable not-outs was instrumental in their progress through the final stages of the World Cricket League ladder to secure ODI status in April 2019.",Oman,Right hand Bat,Right arm Medium fast,Allrounder
Nikhil Dutta,,Canada,Right hand Bat,Right arm Offbreak,Bowler
